project;plan
cck_select_other;"<ul>   <li>Currently compatible with 9.0.0. [#3089761]</li>   <li>Future state: Possibly adding migrations to select_or_other module [#3093944]. Please discuss opinions in that issue.</li> </ul>"
fixed_path_alias;"Done as part of [#3086814]"
anonymous_token;"Release <code>2.0.0</code> is D9 compatible!"
message_banner;"<a href=""https://www.drupal.org/project/message_banner/releases/8.x-1.1"">Release 1.1</a> adds Drupal 9 compatibility. It's now ready for use on D9!"
private_content;"Private content supports Drupal 9"
country_state_city;"Module is compatible with Drupal 9."
map_widget;"8.x-1.1+ is Drupal 9 compatible."
radioactivity;"The 8.x-3.0-beta1 release is Drupal 9 compatible."
ui_styles;"Already compatible (no deprecated API & core_version_requirement is set)"
catalog_lite;"The theme is fully compatible with Drupal 9"
miniorange_2fa;"<strong>This (8.x) module is compatible with Drupal 9.</strong>"
elevatezoomplus;"ElevateZoom Plus 8.x supports Drupal 9. Enjoy."
modifiers_pack;"This module is Drupal 9 compatible."
views_node_access_filter;"This module is Drupal 9 ready."
gridstack;"GridStack 8.x-2.x supports Drupal 9. Enjoy."
media_download;"Ready for Drupal 9 since the initial release."
changed_fields;"Drupal 9 compatible"
simple_user_management;"This module is Drupal 9 ready."
bulk_edit_terms;"D9 ready"
improve_line_breaks_filter;"This module supports Drupal 9."
ui_examples;"Already compatible (no deprecated API & core_version_requirement is set)"
json_feed;"Drupal 9 is supported as of version 1.2."
mixitup_views;"The module supports Drupal 9 starting from the 8.x-1.12 release.  Starting from the 8.x-2.0 branch Composer 2.0 support added."
visually_impaired_module;"8.x-1.3+ is Drupal 9 compatible."
mili;"Mili is compatible with 9 also."
virtual_tour;"2.0.0-alpha1+ are compatible with Drupal 9."
groupmenu;"This module is ready for Drupal 9 since beta3!"
social_wall;"This module is Drupal 9 ready."
paragraphs_table;"ready for drupal 9"
layout_builder_simplify;"D9 compatible."
fieldable_path;"Compatible with Drupal 9 as of <a href=""/project/fieldable_path/releases/8.x-1.0-rc6"">8.x-1.0-rc6</a>."
onomasticon;"Drupal 9 is fully supported since version 1.5."
formassembly;"Version 1.2+ is tested on D9"
restaurant_lite;"The theme is fully compatible with Drupal 9"
error_log;"The 8.x-1.x branch of this module supports Drupal 9."
logging_alerts;"Logging and alerts 8.x-1.0+ supports Drupal 9."
smart_read_more_link;[#3082517]
jquery_ui_selectmenu;"8.x-1.2+ is Drupal 9 compatible."
slick_carousel_slider;"Available for Drupal 9."
get_tweets;"Release <code>8.x-1.2-beta1</code> is D9 compatible!"
hover_effects;"Available for Drupal 9"
better_login_form_config;"8.x-2.x is Drupal 9 compatible"
visually_impaired_theme;"8.x-1.3+ is Drupal 9 compatible."
convert_media_tags_to_markup;"<p>This project is Drupal 9 ready.</p>"
metatag_google_scholar;"No known Drupal 9 compatibility issues."
search_api_opensolr;"Search API opensolr supports Drupal 8 and 9 in parallel."
search_overrides;"This module is Drupal 9 ready."
cookie_content_blocker;"8.x-1.6+ is Drupal 9 compatible."
ueditor;"Already updated done! enjoy!"
rules_user_fields;"Release 2.x is compatible with Drupal 9."
image_base64_formatter;[#3082557]
api_tokens;"8.x-2.1+ is Drupal 9 compatible."
sitemeta;"This module is Drupal 9 ready."
webform_mass_email;"This module is Drupal 9 compatible."
erd;"This module is Drupal 9 ready."
rng_quick;"Not yet."
wysiwyg_mediaembed;"This has been updated for Drupal 9 compatibility, file an issue if there are problems."
user_online_status;"User Online Status is ready for Drupal 9."
ds_chains;"This module is ready for Drupal 9 as of 8.x-1.1!"
ipless;"This module is ready for Drupal 9."
webform_simplenews_handler;[#3084207]
admin_toolbar_content;"D9 ready"
readmore;"For stable release planning, see [#3099855].  Help is welcome!"
layout_builder_kit;"Ready for D9."
webform_iban_field;"This module should be ready for D9. See issue [#3124105]."
migrate_source_directory;"Compatible with Drupal 9."
chatbot_api;"Drupal 9 compatible since version 2.0-rc2 ."
config_single_export;"Module should be ready for Drupal 9. See [#3099570]"
webform_invitation;"Drupal 9 is fully supported since version 1.1."
ckeditor_format_buttons;"This module is Drupal 9 ready."
prometheus_exporter;"The 8.x-1.x branch is compatible with Drupal 9"
mimedetect;"D9 compatibility added to dev version"
svg_upload_sanitizer;"This module already supports Drupal 9."
whoops;"The latest release is compatible with Drupal 9."
admin_toolbar_version;"D9 ready"
porterstemmer;"This project is compatible with Drupal 9."
cocoen_beforeafter;"Drupal 9 is also supported."
bootstrap_horizontal_tabs;"Read about this project's readiness at [#3130321]"
ckeditor_oembed;"Porting this project to D9 will start with Drupal 8.9 first release ."
data;"Help port this project at [#3088972]"
webform_validation;"Help port this project at [#2220971]."
api_ai_webhook;"Drupal 9 is fully supported from version 2.0-rc4."
media_entity_lottie;"Requires Drupal: ^8.8 || ^9"
obfuscate;"8.x-1.x is Drupal 9 compatible."
taxonomy_term_revision;"Drupal 9 compatible!🎉"
social_post_twitter;"Social Post Twitter 3.x supports Drupal 9."
dynamictagclouds;"Drupal 9 compatible from 8.x-2.1 version."
edux;"Edu X Theme is compatible with Drupal 9 also."
form_display_field_machine_name;"Form Display Field Machine Name 8.x-1.2+ supports Drupal 9. Enjoy."
search_api_stats;"This module has been updated for Drupal 9. Please open an issue if you encounter any challenges."
page_title_visibility;"This module is compatible with Drupal 9! See [#3130312]"
enhanced_button_link;"Enhanced Button Link 8.x-1.0+ supports Drupal 9."
instagram_graph;"This module is compatible with Drupal 9."
shorthand;"<code>2.0</code> has Drupal 9 support."
commerce_shipping_weight_tariff;"Module versions from <strong>8.x-2.0-alpha1+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.0-alpha5</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
recipe;"Versions 8.x-2.0-alpha3 and higher are compatible with Drupal 9!"
prevnext;"To fully support Drupal 9, the Prevnext module will be tagging a 2.0.0 release. This release will remove deprecated code and fix any backward compatibility breaking issues"
better_module_dependencies;"Drupal 9 compatible"
bulk_copy_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
google_calendar;"The module is ready for Drupal 9."
video_embed_jwplayer;"Use 1.0+ of this module"
video_embed_field_plyr;"Version 2.x works on 9.x and supports oEmbed too."
uiplog;"Being done, see [#3141992] & [#3139360]."
imagefield_default_alt_and_title;"This module is Drupal 9 ready!"
paragraphs_modal_edit;"This module is ready for D9!"
theme_breakpoints_js;"The latest beta release is compatible with D9. Feel free to test it and report back in the issue queue if you have any problems or if it works well for you."
menu_link;[#3199076]
regcode;"The 8.x-1.x branch of this module is fully compatible with Drupal 9."
foldershare;"FolderShare is compatible with Drupal 9 since 1.4+ and maintains compatibility with Drupal 8.7+"
abjs;Enjoy!
epp;"<em>Entity Prepopulate</em> is D9 ready."
fvm;"This module is fully compatible with Drupal 9."
animated_scroll_to;"The dev version and the 1.3 branch is compatible with Drupal 9 requirements."
ckeditor_blockimagepaste;"This project is Drupal 9 ready!"
stripe_api;"This module is Drupal 9 compatible."
user_account_language_negotiation;"Fully compatible with Drupal 9 since release 8.x-1.4."
jsonapi_role_access;"This module is Drupal 9 ready."
entity_save_and_addanother;"This module is Drupal 9 compatible 🍻"
flexible_views;"The code of this project is Drupal 9 ready!"
scrollup;"This module is ready for Drupal 9 (<a href=""https://www.drupal.org/project/scrollup/issues/3148699"" title=""#3148699 Automated Drupal 9 compatibility""><del>#3148699 Automated Drupal 9 compatibility</del></a>)"
entity_comparison;"This module already supports Drupal 9"
d8_recaptcha_v3;"This module is compatible with Drupal 9."
cloudfront_purger;"The 8.x-1.x branch is compatible with Drupal 9."
closeblock;"<a href=""https://www.drupal.org/project/closeblock/issues/3103467"">#3103467: Add new key core_version_requirement in closeblock.info.yml</a>"
fallback_formatter;"This module is Drupal 9 ready."
civicccookiecontrol;"This module is compatible with drupal 9."
webform_remote_handlers;"Work in progress to fully support this module in Drupal 9"
analytics;"This module is Drupal 9 ready!"
varbase_auth;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_auth?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
commerce_purchase_order;"D9 compatible and verified by automated testing."
twitter_profile_widget;"This module is Drupal 9 compatible"
social_feed_fetcher;"<strong>Social feed fetcher</strong> module is compatible with Drupal 9"
admin_menu_search;"Drupal 9 compatible from 8.x-1.1 version."
rabbitmq;"Planned for <code>3.x</code>"
varbase_media_header;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_media_header?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
guesthouse_lite;"The theme is fully compatible with Drupal 9"
social_auth_github;"Version 3.0.0 supports Drupal 9."
metatag_head_title;"Release 1.1 should work with D9."
content_feedback;"Content Feedback 8.x-1.3+ supports Drupal 9."
ckeditor_accessibility_auditor;"This module is ready for Drupal 9."
graphql_twig;[#3107672]
rng_date_scheduler;"Not yet supported."
video_embed_media_player;"Fully compatible with Drupal 9!"
media_alias_display;"1.0.x branch is Drupal 9 compatible."
pwned_passwords;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091420]"
civic_accessibility_toolbar;"This module is compatible with drupal 9."
ldap_auth;"<strong>Currently no known issues with Drupal 9.</strong>"
entity_translation_unified_form;"Drupal 9 is supported and has been tested with the latest release of entity_translation_unified_form."
wistia;"8.x-1.x and 2.x are Drupal 9 compatible."
log_everything;"Compatible with Drupal 9"
http_client_error_status;"Please use version 2.x for full Drupal 9 compatibility."
gmap_store_locator;"This module is Drupal 9 ready."
seeds_coat;"Seeds Coat supports Drupal 9. Enjoy."
workflow_buttons;"Avoiding deprecated functions; expected to work with Drupal 9."
user_login_persistent_destination;"Ready for Drupal 9 :-)"
version_information;"This module is Drupal 9 compatible 🍻"
oembed_lazyload;"This module was spawned on Drupal 9 and is backwards-compatible to Drupal ^8.8!"
filemime;"The 8.x-1.x branch of this module supports Drupal 9."
jira_issue_collector;"Jira Issue Collector is Drupal 9 compatible."
flipping_book;"Help port this project at [#3186534]"
sel;"Safe External Links is compatible with Drupal 9"
basket;"This module has been updated to work with the store on Drupal 9."
field_load_more;"Field load more 8.x-2.0+ supports Drupal 9."
hide_submit_d8;"8.x-1.1 release is compatible with Drupal 9."
external_data_source;"Use the 3.x.x version."
feed_block;"This module is Drupal 9 compatible! See [#3130335]"
node_access_grants;"This module is ready for Drupal 9."
logouttab;"The module is compatible with 9.0"
drupalauth4ssp;"No known compatibility issues"
taxonomy_bootstrap_accordion;"This module is Drupal 9 ready!"
views_dates;"Drupal 9 is supported."
system_tags;"Full support as of 8.x-1.8."
imce_private;"2019-10-15: No drupal-check errors in this module"
marketing_cloud;"This project is Drupal 9 ready"
view_mode_switch;"This module is compatible with Drupal 9"
config_auto_export;"This project is ready for Drupal 9"
table_field_group;"Need to test"
taxonomy_max_depth;"Drupal 9 is supported since 8.x-1.1."
auto_alter;"Version 8.x-1.10 and above are Drupal 9 compatible!"
ui_patterns_views_style;"Already compatible (no deprecated API & core_version_requirement is set)"
intense;"Intense 8.x-2.x supports Drupal 9. Enjoy."
purge_queues;"This module is compatible with Drupal 9."
recurring_donation;"Release <code>8.x-2.1</code> is D9 compatible!"
template_whisperer;"Template Whisperer is already ready for Drupal 9 - see the issue [#3090756]"
tr_rulez;"This module is D9 compatible."
o365;"This module is compatible with Drupal 9"
paragraphs_preview_helper;"Drupal 9 supported from version 8.x-1.2 forward."
simple_entity_merge;"Compatible with Drupal 9 since version 8.x-1.1"
geocoder_ajax_prepopulate;"This module is Drupal 9 ready."
permission_spreadsheet;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.1."
minimalhtml;"This module is fully compatible with Drupal 9."
custom_markup_block;"This module is compatible with Drupal 9 from version 1.1 onwards"
featurepolicy;"Compatible with Drupal 9"
media_file_delete;"Drupal 9 supported from day 1 😎"
queue_order;"The project is ready for Drupal 9 🎉🎉🎉"
entity_pilot;"The 2.x branch has D9 support 💪"
orejime;"Orejime is Drupal 9 compatible."
layout_builder_tabs;"This module is ready for Drupal 9."
autofloat;"Tested on Drupal 9 and confirmed fully functional."
custom_add_content;"This module is already compatible with Drupal 9."
migrate_skip_on_404;"Drupal 9 supported."
rules_send_big_email;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
die_in_twig;"Release 8.x-2.1 is compatible for Drupal 8"
entity_overlay;"8.x-1.x is Drupal 9 compatible."
rules_data_exchanger;"Release 2.x is compatible with Drupal 9."
logout_redirect;"Fully Drupal 9 compatible as of 8.x-1.x."
leaflet_more_markers;"Compatible with Drupal 8.8, 8.9 and 9+."
organigrams;"All 8.x versions are compatible with Drupal 9."
webform_mautic;"Ready for Drupal 9."
access_filter;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.3."
mollie;"The module should work in Drupal 9. Report issues in the issue queue."
gacsp;"Use this project instead: <a href=""https://www.drupal.org/project/ga"">Googalytics</a>"
pug;"The module is fully compatible with Drupal 9."
canto_connector;"This module used to connect canto flight to get resource."
galleryslider;"Pledge to have it ready before the Drupal 9 release date."
username_validation;"Version 1.1 is Drupal 9 compatible."
protect_form_flood_control;"Drupal 9 compatible"
shortcut_menu;"Compatible with Drupal 9"
liqpay;"This module has been updated to work with the store on Drupal 9."
node_delete_redirect;"The module is Drupal9 ready"
ip_ban;"Please test the current dev branch for the D9 version should be released soon!"
condition_field;"Condition Field 8.x-1.2 supports Drupal 9."
drd;"This project is ready for Drupal 9"
prev_next;"Previous/Next API 8.x-2.0-alpha1+ supports Drupal 9."
mailchimp_popup_block;"The module is Drupal 9 compatible."
field_group_metadata;"This module is fully ready for Drupal 9!"
ad_entity;"This module is compatible with D9 since 1.0-beta37."
requirement;"8.x-1.1+ is Drupal 9 compatible."
video_embed_spotify;"2019-07-31: No drupal-check errors in this module"
views_migration;"This module supports drupal9"
social_auth_apple;"This module is fully compatible."
logo_image_style;"Logo image style is fully compatible with Drupal 9!"
email_attachment;"This module currently doesn't use deprecated code according to Matt's <code>drupal-check</code> and is thus ready for Drupal 9."
link_icons;"Version 3.0.2 and above are Drupal 9 compatible."
install_profile_generator;"Drupal 9 is supported on the 3.0.x branch The 8.x-2.x branch cannot be run on Drupal 9, but install profiles generated can subsequently be installed on a Drupal 9 code base."
direct_checkout_by_url;"This module has no known compatibility issues with Drupal 9"
cyrillic_to_latin;"This module is Drupal 9 ready."
ik_constant_contact;"Is Drupal 9 ready as of 2.0.1"
oauth_login_oauth2;"The current 8.x module is compatible with Drupal 9"
cryptolog;"The 8.x-1.x branch of this module supports Drupal 9."
hierarchy_manager;"Hierarchy Manager 2.0.0 supports Drupal 9."
datetime_flatpickr;"The latest releases are compatible with Drupal 9."
drulma;"Latest version is compatible with Drupal 9"
multiple_select;"This module is already fully compatible with Drupal 9!"
social_auth_instagram;"3.x releases support Drupal 9."
markup_twig;"This module is Drupal 9 compatible in the latest branch."
amun;8/9
stylescomboplus;"Styles Combo Plus is Drupal 8 and Drupal 9 ready."
materialize_datetime_picker;"Module is compatible with Drupal 9."
ruhi;"Ruhi theme is compatible with Drupal 9 also."
google_webfonts_helper;"No deprecation usage."
tca;"This module already supports Drupal 9"
chart_suite;"Chart Suite 8.x-1.1 onwards is compatible with Drupal 9."
piwik_noscript;"The 8.x-1.x branch of this module supports Drupal 9."
twigjs;"This module is compatible with Drupal 9 from version 1.1."
computed_field_plugin;"This module is compatible with D9, yay!"
block_background_style;"Drupal 9 compatible"
polyfill;"8.x-1.x-dev is Drupal 9 compatible."
bootstrap_storybook;"Drupal 9 ready, requires components:^3.0 module"
linkit_entity_browser;"This module is Drupal 9 compatible"
graphql_menu;"8.x-1.x is Drupal 9 compatible."
raw_formatter;"2.0.0 is Drupal 9 compatible."
bootstrap_italia;"Bootstrap_italia 8.x-0.14 and later are compatible with Drupal 9. Please use Components 2.0 https://www.drupal.org/project/components"
apigee_m10n;"Apigee Monetization <strong>8.x-1.5</strong> is ready for Drupal 9.  See https://github.com/apigee/apigee-edge-drupal/issues/393 for Apigee Edge."
varbase_api;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_api?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
one_time_password;"This project is compatible with Drupal 9."
vuejs;"The module is compatible with Drupal 9 since 8.x-1.0-rc3."
search_api_saved_searches;"As the Drupal 8 version is still in early Alpha, it cannot be said when this project will properly work at all, for either Drupal 8 or 9. However, the <a href=""/project/search_api_saved_searches/releases/8.x-1.0-alpha3"">Alpha 3 release</a> fixes at least basic incompatibility with Drupal 9."
views_birthday;"Drupal 9 compatible"
views_published_or_roles;"Views Published or Roles supports Drupal 9."
create_and_translate;"This module is Drupal 9 compatible."
readmore_extrafield;"1.x and 3.x are Drupal 9 compatible!"
sansdesordre;"This module is Drupal 9 ready."
customfilter;"Drupal 9 is fully supported with a migration path from D6/D7."
mongodb;"As of release 8.x-2.1-alpha1, this project is already Drupal 9-compatible. A Drupal 9 stable release will be published once Drupal 9.0.0 is released. Report any discovered issues with the dev. or alpha versions in the meantime."
domain_group;"Compatible from version 2.0.0"
admin_can_login_anyuser;"Module is compatible with Drupal 9."
content_moderation_bypass;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
webform_attachment_gated_download;"This project should work with Drupal 9. Please post any issues, with or without patches, and they will be resolved."
tasty_backend;"Drupal 9 support has been added in 8.x-1.0-beta3."
role_specific_user_block;"Role Specific User Block 8.x-1.x supports Drupal 9. Enjoy."
view_entity_ref_field_formatter;"This should be in core !"
library;"The 1.x branch is D9 compliant."
workbench_tabs;"This project is Drupal 9 ready."
selection_sharer;"Working with Drupal 9."
cookiebot_gtm;"Drupal 9 ready"
feeds_dependency;"Compatible with Drupal 9 since beta1"
navigation_blocks;"8.x-1.0-alpha22+ is Drupal 9 compatible."
gpx_track_elevation;"Starting with version 8.x.1.1, ""GPX Track & Elevation Modules"" is compatible with Drupal 9."
mapycz;"Module is Drupal 9 compatible."
easy_layouts;"Easy Layouts supports Drupal 9."
mobile_app_links;"This module is D9 ready."
rewrite_field;"2.x branch is compatible with D9. [#3141551]"
stripe_checkout;"The 8.x-2.x branch of this module is Drupal 9 compatible."
npm;"Drupal 9 support in [#3131895]"
doc_serialization;"Should be compatible, testing can commence!"
redirect_node;"This project is compatible with Drupal 9!"
fieldhelptext;"This project is Drupal 9 ready."
dblog_persistent;"As of version 2.0.0, this module is compatible with Drupal 9."
flag_lists;"4.0.0-rc1 has been tested and fixed for Drupal 9 with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade status</a>."
ics_link_field;"8.x-1.x is Drupal 9 compatible."
botscout;"Compatible if using version 8.x-2.1 or above"
commerce_stock_notifications;"Commerce Stock Notifications 8.x-1.x is Drupal 9 ready. Enjoy."
webform_select_collection;"Drupal 9 ready"
theme_color_meta_tag;"This project will be ported to Drupal 9 soon."
leaflet_geojson;"1.4+ is compatible with D9"
govuk_notify;"This module works with Drupal 9."
composite_reference;"This module is ready for Drupal 9."
advanced_scroll_top;"Available for Drupal 9."
splash_redirect;"This module is compliant with all current Drupal Coding Standards and Module Documentation Guidelines as of Drupal 8.8.x. Barring any significant update to Core or Symfony ahead of the Drupal 9 release, splash_redirect should be usable with D9."
image_hotspots;"<a href=""https://www.drupal.org/project/image_hotspots/issues/3103469"">#3103469: Add new key core_version_requirement in image_hotspots.info.yml </a>"
private_taxonomy;"The Private Taxonomy project has been ported to Drupal 9."
video_embed_panopto;"The module is Drupal 9 compatible."
eme;"Compatible with Drupal 9."
scrollbar;"This module is ready for 9.x.  Please test and give your feedback at issue <a href=""https://www.drupal.org/node/3128873"">Drupal 9.x feedback</a>."
location_migration;"Location Migration is compatible with Drupal 9."
varbase_faqs;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_faqs?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
course;"D9 work is also happening during the D8 port."
custom_translation_deployments;"This module is 100% compatible with Drupal 9"
production_checklist;"8.x-1.x is Drupal 9 compatible."
translate_side_by_side;"2019-07-31: No drupal-check errors in this module"
config_readonly_menu_ui;"This module is Drupal 9 ready."
mailjet_api;"Drupal 9 ready"
webform_views_extras;"The module will support Drupal 9."
flat_taxonomy;"Compatible with Drupal 9 from 8.x-1.2 release."
simple_analytics;"D9 ready"
breadcrumbs_visibility;"This module is Drupal 9 compatible! See [#3130315]"
term_merge_manager;"This module is fully compatible with Drupal 9."
node_view_language_permissions;"2019-07-31: No drupal-check errors in this module"
block_country;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/block_country/releases/2.0.0"">Version 2.0.0</a>!"
happy_new_year;"8.x-1.3+ is Drupal 9 compatible."
io;"Intersection Observer 8.x supports Drupal 9. Enjoy."
social_auth_microsoft;"3.x versions support Drupal 9."
graphql_responsive_image;"This module is ready for D9!"
image_focus;"Drupal 9 is also supported."
issuu_viewer;"Compatible since version 8.x-1.4"
bugherd;"D9 ready"
memory_limit_policy;"This module is compatible with Drupal 9 starting 8.x-1.2 release."
ui_patterns_entity_links;"Already compatible (no deprecated API & core_version_requirement is set)"
aws_sqs;"The module is supporting Drupal 8.8 and higher versions."
lazy_image_style;"The current module version is ready to run!"
paypal_payment;"This project is ready for Drupal 9"
regcode_simple;"Release <code>8.x-1.4</code> is compatible with Drupal 9."
anhur;8/9
zooming;"Zooming 8.x supports Drupal 9. Enjoy."
freelinking;"8.x-3.x-dev is compatible with Drupal 8.8.0 to 9.4.0. 4.0.x is compatible with Drupal 9.0.0 to 10.x.y or greater. PHP 7.4 is required."
views_delimited_list;Done!
bibcite_crossref;"Currently no known Drupal 9 compatibility issues in latest dev."
iframe_title_filter;"This module is Drupal 9 compatible! See [#3130316]"
saml_extras;"SAML extras 8.x-1.4+ supports Drupal 9. Enjoy."
security_login_secure;"Currently no known issues with Drupal 9"
taxonomy_place;"This module should be Drupal 9 compatible."
commerce_product_taxonomy_filter;"It also supports drupal 9"
taxonomy_class;"This module is Drupal 9 compatible 🍻"
facebookoembed;"No plan to port to Drupal 9"
dis;"Compatible with Drupal 9"
url_restriction_by_role;"This module is already fully compatible with Drupal 9"
revive_adserver;"The module is Drupal 9 compatible."
vimeo_upload;"8.x-1.x is Drupal 9 compatible."
push_framework;"This project is ready for Drupal 9"
miniorange_saml_idp;"<strong>This (8.x) module is compatible with Drupal 9</strong>"
go_back_history;"This module is compatible with Drupal 9."
media_sitemap;"Media sitemap 8.x-1.0+ supports Drupal 9."
entity_reference_override;"Drupal 9 porting in progress on the 2.0.x branch."
file_to_media;"This module is D9 compatible 😎"
node_auto_expire;"This module is ready for Drupal 9."
basket_novaposhta;"This module has been updated to work with the store on Drupal 9."
media_iframe;"This module is Drupal 9 compatible."
snowflakes;"Ready for Drupal 9 :-)"
media_delete_all;"8.x-2.x is Drupal 9 compatible"
rest_export;"The module is fully compatible with Drupal 9."
config_suite;"Config Suite supports Drupal 9. If you want to use it with Drupal 8, I'd use version 8.x-1.12"
decoupled_kit;"This module is ready for Drupal 9!"
custom_login_url;"Custom Login Url supports Drupal 9"
backerymails;"Backerymails <code>2.x</code> is fully compatible with Drupal 9."
headroomjs;"8.x-1.0-beta3 is Drupal 9 updated."
coffee_mediteran;"Supports Drupal 9"
bean_migrate;"Compatible with Drupal 9."
entity_route_context;"Project is compatible with Drupal 9. Update to version 3. 3.x branch is a drop in replacement for 1.x branch."
page_menu_reorder;"Ready for Drupal 9"
entity_repository;"Entity Repository 2.0.0 is Drupal 9 compatible."
webform_prepopulate;"8.x-1.x is Drupal 9 compatible"
xbbcode;"Version 4.0.0 of this module is fully compatible with Drupal 9 and Drupal 8.8+."
novaposhta_tracking;"This module has been updated to work with the store on Drupal 9."
multiple_sitemap;"<a href=""https://www.drupal.org/about/9"">Drupal 9</a> is here!"
advanced_help_hint;"Compatible with Drupal 9. But there now exists a replacement for Advanced Help that you may want to use instead. Please see: [#2920309] )."
discourse_sso;"This project is ready for Drupal 9"
simpler_quickedit;"Fully compatible with D9"
christmas_lights;"Compatible with Drupal 9"
ccos;"This module is fully compatible with Drupal 9 from the initial release itself."
skins;"Skins is compatible with Drupal 9 starting with release 8.x-1.0-rc1."
paragraphs_button;"8.x-1.1 is compatible with Drupal 9."
media_name;"8.x-1.x is Drupal 9 compatible."
captcha_questions;"Captcha Questions 8.x-1.3+ supports Drupal 9. Enjoy."
danse;"This project is ready for Drupal 9"
sharedemail_pass_reset;"Release <code>8.x-2.0</code> is D9 compatible!"
commerce_quick_edit;"This module is Drupal 9 ready."
svg_embed;"This project is ready for Drupal 9"
email_formatter;"Planned at some point"
wisski;"Branch 8.x-2.x is fully D9 compatible. Branch 8.x-3.x is even PHP 8 compatible - work will continue there :)"
jitsi;"Module compatible with Drupal 9"
iframeremove;"IFrame Remove Filter 8.x-1.1 or higher supports Drupal 9."
auto_anchors;"Automatic Anchors is compatible with Drupal 9."
drulma_companion;"Latest version is compatible with Drupal 9"
multilingual_google_web_translator;"Ported to D9"
entity_diff_ui;"Compatible with Drupal 9"
custom_checkboxes;"This module is already compatible with Drupal 9."
translated_config;"Fully compatible with Drupal 9."
ckeditor_layout_manager;"This module is drupal 9 ready."
simple_integrations;"Drupal 9 ready as of 1.2."
burndown;"This module is Drupal 9 ready."
fepper;"8.x-3.0+ is compatible with Drupal 9."
libraries_provider;"Module is compatible with Drupal 9"
announcement_modal;"This module is Drupal 9 compatible."
dwr;"Module should be compatible with Drupal 9."
comment_reply_count;"Comment Reply Count 8.x-1.2+ supports Drupal 9. Enjoy."
bbr;"This module is ready to use on Drupal 9 as an experimental code. Once all bugs will be fixed an stable release will be done."
look;"This module is Drupal 9 compatible."
webform_ip_geo;"The module is Drupal 9 ready."
bigvideo;"<a href=""https://www.drupal.org/project/bigvideo/issues/3103472"">#3103472: Add new key core_version_requirement in bigvideo.info.yml</a>"
stripe_registration;"The 8.x-1.x branch of this module is Drupal 9 compatible."
rut;"This module is Drupal 9 ready"
ajaxin;"Ajaxin 8.x supports Drupal 9. Enjoy."
user_history;"<strong>This module supports Drupal 9.</strong>"
smart_ip_locale;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/smart_ip_locale?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
available_updates;"Available Updates supports Drupal 9."
webpack;"Drupal 9 issue [#3131906]"
excel_importer;"This module is compatible with Drupal 9."
microcontent;"Please use the issue queue if you find anything"
xhprof;"Help improve it at [#3121379]"
custom_configuration;"Drupal 9 compatibility changes are done."
commerce_funds;"This module is Drupal 9 ready."
commerce_price_updater;"This module is Drupal 9 ready."
helloworld;[#3082507]
link_iframe_formatter;"2.0.0 is D9 compatible ✨"
watchdog_delete_filter;"This module has been checked and passed the tests for correctness and Drupal 9 deprecation errors provided by Drupal Check PHPStan tool: <a href=""https://github.com/mglaman/drupal-check"">https://github.com/mglaman/drupal-check</a>"
doccheck_basic;"2019-07-31: No drupal-check errors in this module"
fixteaserlinks;"Release 8.x-1.1 is fully compatible with Drupal 9."
ajax_requirement;"This module is 100% compatible with Drupal 9."
media_field_formatters;"Compatible as of 8.x-1.0-rc3."
simple_like_button;"Fully compatible with Drupal 9"
views_negate;"Views Negate 8.x-1.1+ supports Drupal 9. Enjoy."
responsive_image_formatter_link_to_image_style;"Version 2.0.x is D9 compatible."
migrate_queue_importer;"The code of this project is Drupal 9 ready!"
youtube_import;"This project is D9 Ready"
bulk_author_update;"This module is already fully compatible with Drupal 9"
shortcode_social;"Drupal 9 is supported for version 8.x-1.1 and above"
disable_browser_back_button;"Fully Drupal 9 compatible as of 8.x-1.x."
bcc;"The Beta branch is Drupal 9 ready."
alias_manager;"Drupal 9 is also supported."
govuk_theme;"Fully ported to Drupal 9"
